iteration,rtt_ms,status,proc_ram_mb,proc_vsz_mb,proc_cpu_pct,sys_ram_pct,sys_cpu_pct
0,0.365,ok,14.699,1155.250,0.0,52.3,0.0
1,0.285,ok,14.699,1155.250,0.0,52.3,0.0
2,0.249,ok,14.699,1155.250,0.0,52.3,0.0
3,0.247,ok,14.699,1155.250,0.0,52.3,0.0
4,0.242,ok,14.699,1155.250,0.0,52.3,0.0
5,0.251,ok,14.699,1155.250,0.0,52.3,0.0
6,0.259,ok,14.699,1155.250,0.0,52.3,0.0
7,0.253,ok,14.699,1155.250,0.0,52.3,0.0
8,0.283,ok,14.699,1155.250,0.0,52.3,0.0
9,0.304,ok,14.699,1155.250,0.0,52.3,0.0
10,0.281,ok,14.699,1155.250,0.0,52.3,0.0
11,0.301,ok,14.699,1155.250,0.0,52.3,0.0
12,0.231,ok,14.699,1155.250,0.0,52.3,0.0
13,0.254,ok,14.699,1155.250,0.0,52.3,0.0
14,0.275,ok,14.699,1155.250,0.0,52.3,0.0
15,0.279,ok,14.699,1155.250,0.0,52.3,0.0
16,0.257,ok,14.699,1155.250,0.0,52.3,0.0
17,0.236,ok,14.699,1155.250,0.0,52.3,0.0
18,0.243,ok,14.699,1155.250,0.0,52.3,0.0
19,0.259,ok,14.699,1155.250,0.0,52.3,0.0
20,0.238,ok,14.699,1155.250,0.0,52.3,0.0
21,0.221,ok,14.699,1155.250,0.0,52.3,0.0
22,0.257,ok,14.699,1155.250,0.0,52.3,0.0
23,0.326,ok,14.699,1155.250,0.0,52.3,0.0
24,0.287,ok,14.699,1155.250,0.0,52.3,0.0
25,0.232,ok,14.699,1155.250,0.0,52.3,0.0
26,0.264,ok,14.699,1155.250,0.0,52.3,0.0
27,0.331,ok,14.699,1155.250,0.0,52.3,0.0
28,0.338,ok,14.699,1155.250,0.0,52.3,0.0
29,0.348,ok,14.699,1155.250,0.0,52.3,0.0
30,0.229,ok,14.699,1155.250,0.0,52.3,0.0
