iteration,rtt_ms,status
0,1.403,ok
1,0.816,ok
2,0.629,ok
3,0.441,ok
4,0.539,ok
5,0.498,ok
6,0.406,ok
7,0.353,ok
8,0.411,ok
9,0.472,ok
10,0.401,ok
11,0.388,ok
12,0.370,ok
13,0.411,ok
14,0.388,ok
15,0.352,ok
16,0.391,ok
17,0.533,ok
18,0.535,ok
19,0.435,ok
20,0.416,ok
21,0.582,ok
22,0.328,ok
23,0.517,ok
24,0.536,ok
25,0.444,ok
26,0.461,ok
27,0.476,ok
28,0.504,ok
29,0.442,ok
30,0.372,ok
31,0.406,ok
32,0.430,ok
33,0.342,ok
34,0.497,ok
35,0.490,ok
36,0.440,ok
37,0.379,ok
38,0.405,ok
39,0.540,ok
40,0.399,ok
41,0.376,ok
42,0.438,ok
43,0.399,ok
44,0.364,ok
45,0.383,ok
46,0.422,ok
47,0.389,ok
48,0.382,ok
49,0.370,ok
50,0.401,ok
51,0.407,ok
52,0.394,ok
53,0.379,ok
54,0.377,ok
55,0.380,ok
56,0.385,ok
57,0.361,ok
58,0.413,ok
59,0.405,ok
60,0.411,ok
61,0.529,ok
62,0.384,ok
63,0.513,ok
64,0.532,ok
65,0.371,ok
66,0.448,ok
67,0.458,ok
68,0.460,ok
69,0.842,ok
70,0.516,ok
71,0.478,ok
72,0.647,ok
73,0.871,ok
74,0.505,ok
75,0.543,ok
76,0.700,ok
77,0.710,ok
78,0.569,ok
79,0.530,ok
80,0.556,ok
81,0.625,ok
82,0.563,ok
83,0.520,ok
84,0.974,ok
85,0.523,ok
86,0.507,ok
87,0.535,ok
88,105.743,ok
89,0.844,ok
90,0.567,ok
91,0.555,ok
92,0.520,ok
93,0.567,ok
94,0.655,ok
95,0.552,ok
96,0.557,ok
97,0.576,ok
98,0.563,ok
99,0.537,ok
100,0.549,ok
101,0.441,ok
102,0.544,ok
103,0.572,ok
104,0.935,ok
105,0.825,ok
106,2.870,ok
107,2.107,ok
108,0.809,ok
109,0.585,ok
110,0.568,ok
111,0.657,ok
112,0.678,ok
113,0.470,ok
114,0.528,ok
